,ECMWF_TOT,ECMWF_PER_M2,ECMWF_PER_BLD,GFS_TOT,GFS_PER_M2,GFS_PER_BLD
drenthe,3596725.1242177733,0.07301524000045678,9.513988044359081,74384890.34692284,1.5100488454116807,196.76147967951744
flevoland,5376540.242229108,0.16275634725844115,21.55928304233274,52744069.135062896,1.5966461042260196,211.49740614900273
friesland,8805146.863188468,0.1390803101644115,18.045737369093153,121151911.47092554,1.9136359320514593,248.29518577459197
gelderland,16120711.346115025,0.09395547066233319,10.937808780064094,355709403.7761119,2.073161892999014,241.34675922420425
groningen,2607734.3733861055,0.05246300036525373,6.587683146106115,82789095.41480996,1.6655700777324207,209.14259293876458
limburg,16423430.45816203,0.14415440195137655,20.175857489136586,188435316.07616258,1.6539650692756527,231.48903590867303
noord_brabant,40763379.87053601,0.17441693199388195,22.587819697281823,477851186.3755872,2.044613036062524,264.78708277538243
noord_holland,30142542.753860462,0.1869889632846123,20.812088189038786,490838910.5824363,3.0449142854016027,338.90248666380563
overijssel,6124768.5934667,0.06149677113038062,7.793793988520358,183535335.9199557,1.8428174673320263,233.54949267795425
utrecht,10209347.522009373,0.13656023575394927,13.123398061584128,163321497.24113417,2.184588399881171,209.93829583023867
zeeland,15868138.90007512,0.37601789327646234,45.584346389954526,31496868.959964078,0.7463626570015987,90.48094385304456
zuid_holland,43745291.9695245,0.18886970043985551,24.258721724193013,301223556.7444079,1.3005285909939381,167.04194007723027
